LOGIN,IP,PUERTO,ESTADO_ELEMENTO,ESTADO_SERVICIO
porvhfernandez,172.29.26.251,xdsl 21,HABILITADO,Activo
uioafaltamirav,172.30.252.108,xdsl 19,HABILITADO,Activo
porocleonm2,172.29.62.254,xdsl 40,HABILITADO,Activo
LIBRE,172.16.22.246,xdsl 48,BLOQUEADO,In-Corte
LIBRE,172.22.21.254,xdsl 43,BLOQUEADO,In-Corte
jipgdurru,172.21.36.254,xdsl 8,HABILITADO,Cancel
poregquir_m,172.29.82.254,xdsl 5,HABILITADO,Activo
gyedesole_m,172.17.127.254,xdsl 33,HABILITADO,Activo
pormjfernandezb,172.29.90.254,xdsl 17,HABILITADO,Cancel
gyeegcordov_m,172.17.112.254,xdsl 26,HABILITADO,Cancel
uiosbjime,172.30.251.132,xdsl 28,HABILITADO,Activo
porbb,172.29.26.250,xdsl 5,HABILITADO,Activo
gyescandr_m,172.17.112.253,xdsl 28,HABILITADO,Activo
porjrdelgadoc,172.29.122.254,xdsl 46,HABILITADO,Activo
pornframirezg,172.29.26.252,xdsl 19,HABILITADO,Cancel
uionexiatece,172.30.249.88,xdsl 19,HABILITADO,Activo
milvmgaiborm,172.16.21.242,xdsl 44,HABILITADO,Activo
pincamelendre_m,172.24.30.253,xdsl 21,HABILITADO,Activo
bbhleespa,172.23.37.254,xdsl 1,HABILITADO,Activo
pinljdiaz_m,172.24.28.254,xdsl 44,HABILITADO,Cancel
librachavezc_m,172.18.55.254,xdsl 20,HABILITADO,Activo
manmdelg_m,172.28.34.251,xdsl 44,HABILITADO,Cancel
LIBRE,172.30.253.76,xdsl 29,BLOQUEADO,In-Corte
uioac,172.30.249.89,xdsl 23,HABILITADO,Activo
pinlesanm_m,172.24.47.254,xdsl 18,HABILITADO,Cancel
pinjlsarangoc_m,172.24.34.254,xdsl 44,HABILITADO,Activo
duryyronqui_m,172.17.104.254,xdsl 24,HABILITADO,Activo
porklsorn,172.29.106.252,xdsl 39,HABILITADO,Activo
mileysemp_m,172.16.39.254,xdsl 48,HABILITADO,Activo
LIBRE,172.26.2.254,xdsl 43,BLOQUEADO,In-Corte
milabvelezb_m6,172.16.22.248,xdsl 2,HABILITADO,Activo
blszdpere_m,10.111.3.254,xdsl 24,HABILITADO,Activo
LIBRE,172.20.45.254,xdsl 7,BLOQUEADO,In-Corte
uiorstrunck,172.30.249.211,xdsl 1,HABILITADO,Activo
uiomaguilera,172.30.254.20,xdsl 22,HABILITADO,Activo
blsmmramia_m,10.111.2.254,xdsl 31,HABILITADO,Cancel
milmgcadenag_m,172.16.21.252,xdsl 6,HABILITADO,Activo
pinpgloayzae_m,172.24.52.254,xdsl 37,HABILITADO,Activo
porseandradea,172.29.94.254,xdsl 2,HABILITADO,Activo
milinbustoso_m4,172.16.20.251,xdsl 3,HABILITADO,Activo
queermant,172.22.57.254,xdsl 1,HABILITADO,Activo
quedamoreiral,172.22.58.254,xdsl 12,HABILITADO,Activo
queimuril_m,172.22.70.254,xdsl 43,HABILITADO,Activo
uiofperezv,172.30.252.171,xdsl 32,HABILITADO,Activo
porraocho,172.29.86.254,xdsl 44,HABILITADO,Activo
uiodmaier,172.30.252.34,xdsl 7,HABILITADO,Cancel
milgjliberiom1,172.16.45.254,xdsl 3,HABILITADO,Activo
zarfmapol_m,172.24.69.254,xdsl 24,HABILITADO,Activo
uioegpilatasig,172.30.251.50,xdsl 25,HABILITADO,Activo
millabena_m,172.16.20.253,xdsl 30,HABILITADO,Activo
milcaguerre_m6,172.16.60.254,xdsl 13,HABILITADO,Activo
mildmfreirer_m4,172.16.22.252,xdsl 26,HABILITADO,Activo
porrearte,172.29.46.254,xdsl 37,HABILITADO,Activo
miljjduer_m6,172.16.22.253,xdsl 9,HABILITADO,Activo
quelmcaja,172.22.50.254,xdsl 40,HABILITADO,Activo
milsoyagu_m6,172.16.57.254,xdsl 11,HABILITADO,Activo
uioodontos1,172.30.249.165,xdsl 24,HABILITADO,Cancel
balodhere,172.26.4.254,xdsl 6,HABILITADO,Cancel
zareeespi_m,172.24.65.254,xdsl 22,HABILITADO,Activo
milmmcabellov,172.16.21.245,xdsl 43,HABILITADO,Activo
uiorekenyone,172.30.249.90,xdsl 13,HABILITADO,Activo
manjezambranov,172.28.86.239,xdsl 43,HABILITADO,Activo
pindcrivasf,172.24.51.254,xdsl 21,HABILITADO,Activo
stlhm_m,172.18.64.254,xdsl 5,HABILITADO,Activo
macklzambra_m,172.20.22.251,xdsl 17,HABILITADO,Activo
porheorellanam,172.29.78.254,xdsl 11,HABILITADO,Activo
uioinmobiliari2,172.30.249.166,xdsl 20,HABILITADO,Activo
manfd_m,172.28.125.251,xdsl 46,HABILITADO,Activo
milhrlopezm_m4,172.16.63.254,xdsl 3,HABILITADO,Activo
quejgutierreza,172.22.21.252,xdsl 11,HABILITADO,Activo
quekpmaciasa,172.22.41.254,xdsl 27,HABILITADO,Activo
palfnluay,172.25.8.254,xdsl 39,HABILITADO,Activo
milmlarzu_m6,172.16.24.251,xdsl 40,HABILITADO,Activo
LIBRE,172.25.3.254,xdsl 9,HABILITADO,In-Corte
manglgile2_m,172.28.50.254,xdsl 16,HABILITADO,Activo
pinjpordonezr_m,172.24.48.254,xdsl 40,HABILITADO,Cancel
milmalopeza_m6,172.16.21.254,xdsl 7,HABILITADO,Activo
caymbedoy,172.30.250.3,xdsl 31,HABILITADO,Activo
vinbaloorr,172.25.1.254,xdsl 45,HABILITADO,In-Corte
tromclopez_m,10.114.10.254,xdsl 6,HABILITADO,Cancel
LIBRE,172.25.6.254,xdsl 47,BLOQUEADO,In-Corte
porjamaciasz,172.29.70.254,xdsl 13,HABILITADO,Activo
pinlarami_m,172.24.32.254,xdsl 6,HABILITADO,Activo
pindjramirezs_m,172.24.34.253,xdsl 13,HABILITADO,Cancel
quelayant,172.22.52.253,xdsl 6,HABILITADO,Cancel
LIBRE,172.25.2.254,xdsl 47,BLOQUEADO,In-Corte
LIBRE,172.22.101.254,xdsl 36,BLOQUEADO,In-Corte
vinacgoye,172.25.2.253,xdsl 34,HABILITADO,Activo
LIBRE,172.28.86.251,xdsl 5,BLOQUEADO,Cancel
jipeemont,172.21.37.254,xdsl 46,HABILITADO,Activo
quewequin,172.22.65.254,xdsl 24,HABILITADO,Activo
jipbwpinc,172.21.26.254,xdsl 32,HABILITADO,Activo
pincrmaca_m3,172.24.32.253,xdsl 24,HABILITADO,Activo
vinmbustamante,172.25.1.252,xdsl 43,HABILITADO,Activo
LIBRE,172.25.2.252,xdsl 13,BLOQUEADO,In-Corte
vinunivguay,172.25.1.253,xdsl 5,HABILITADO,Cancel
LIBRE,172.26.2.252,xdsl 13,BLOQUEADO,Cancel
manermendozav1,172.28.112.246,xdsl 9,HABILITADO,Activo
miljmperez_m6,172.16.24.253,xdsl 23,HABILITADO,Activo
quelmzamb,172.22.56.253,xdsl 24,HABILITADO,Activo
zarjdsol3_m,172.24.66.254,xdsl 17,HABILITADO,Activo
salactama_m,172.18.58.254,xdsl 1,HABILITADO,Activo
LIBRE,172.25.5.254,xdsl 27,BLOQUEADO,In-Corte
manfjgonzale_m,172.28.40.62,xdsl 29,HABILITADO,Activo
gyeccl,172.27.73.254,xdsl 17,HABILITADO,Activo
trodiquit,10.114.5.254,xdsl 21,HABILITADO,Activo
trokssuqu23,10.114.13.254,xdsl 10,HABILITADO,Activo
milafgonz_m6,172.16.21.241,xdsl 7,HABILITADO,Activo
libdhrodr_m,172.18.52.254,xdsl 35,HABILITADO,Activo
gyesktircioa1,172.17.106.254,xdsl 1,HABILITADO,Cancel
uiomandrade4,172.30.254.167,xdsl 25,HABILITADO,Activo
manjimedi_m,172.28.34.254,xdsl 33,HABILITADO,Activo
trojlmarcialr,10.114.2.254,xdsl 23,HABILITADO,Activo
queymvint,172.22.54.254,xdsl 31,HABILITADO,Activo
quegasalva,172.22.53.254,xdsl 13,HABILITADO,Activo
porfgcaicedoi,172.29.21.253,xdsl 19,HABILITADO,Activo
manmssalaza_m,172.28.75.254,xdsl 11,HABILITADO,Activo
yagelcobac_m,172.16.106.254,xdsl 47,HABILITADO,Activo
LIBRE,172.16.106.253,xdsl 36,HABILITADO,In-Corte
LIBRE,172.25.4.254,xdsl 48,BLOQUEADO,In-Corte
quevgfuen,172.22.52.254,xdsl 43,HABILITADO,Activo
caylecastillos,172.30.250.2,xdsl 41,HABILITADO,Activo
stlnecor5,172.18.56.254,xdsl 35,HABILITADO,Cancel
tromacarang,10.114.9.253,xdsl 13,HABILITADO,Activo
strpjagui_m,172.20.40.254,xdsl 37,HABILITADO,Activo
jipjrmurill,172.21.35.254,xdsl 22,HABILITADO,Activo
LIBRE,172.26.3.254,xdsl 46,BLOQUEADO,In-Corte
jipnytumb_m,172.21.21.253,xdsl 12,HABILITADO,Activo
zarmrpare_m,172.24.64.254,xdsl 46,HABILITADO,Activo
uiojeperezg,172.30.249.226,xdsl 23,HABILITADO,Cancel
durjhrome_m,172.17.133.254,xdsl 8,HABILITADO,Activo
empsatene_m,172.22.103.254,xdsl 18,HABILITADO,Activo
uioiglesiacris,172.30.249.4,xdsl 2,HABILITADO,Activo
porammaridu_m,172.29.58.254,xdsl 15,HABILITADO,Activo
quewjtenelemav,172.22.37.254,xdsl 30,HABILITADO,Activo
LIBRE,172.22.56.254,xdsl 43,BLOQUEADO,In-Corte
porlfchac,172.29.98.254,xdsl 48,HABILITADO,Activo
milassilv_m6,172.16.54.254,xdsl 38,HABILITADO,Activo
salrracin_m,172.18.63.254,xdsl 15,HABILITADO,Activo
ballrchango,172.26.2.253,xdsl 38,HABILITADO,Activo
manhcantosg,172.28.34.249,xdsl 19,HABILITADO,Activo
uiomescobarr,172.30.249.35,xdsl 11,HABILITADO,Activo
bbhjlabrigor,172.23.29.254,xdsl 18,HABILITADO,Activo
quefrzars_m,172.22.68.254,xdsl 21,HABILITADO,Activo
uiojcpaezn,172.30.251.84,xdsl 37,HABILITADO,Activo
triwscabr_m,10.114.3.254,xdsl 6,HABILITADO,Cancel
uiopcnorieg,172.30.251.82,xdsl 6,HABILITADO,Activo
trilacama,10.114.16.254,xdsl 27,HABILITADO,Activo
macrlsanjine_m,172.20.20.254,xdsl 8,HABILITADO,Activo
uioaes,172.30.254.92,xdsl 6,HABILITADO,Activo
trijgtora2,10.114.12.254,xdsl 5,HABILITADO,Cancel
uiodvbarren,172.30.249.86,xdsl 26,HABILITADO,Activo
trimigarc,10.114.1.254,xdsl 4,HABILITADO,Activo
trolcfloresp,10.114.4.253,xdsl 30,HABILITADO,Activo
troderoca_m,10.114.9.254,xdsl 36,HABILITADO,Activo
porfedominguez,172.29.30.254,xdsl 12,HABILITADO,Activo
bbhaaaber,172.23.24.254,xdsl 48,HABILITADO,Cancel
uiojlriofriog,172.30.251.24,xdsl 2,HABILITADO,Activo
LIBRE,172.20.38.254,xdsl 43,BLOQUEADO,In-Corte
uiopbburbanoe1,172.30.252.243,xdsl 11,HABILITADO,Cancel
uioretoledom,172.30.254.179,xdsl 26,HABILITADO,Cancel
maclacastroc2,172.20.62.254,xdsl 26,HABILITADO,Activo
uiommgrijal_m,172.30.252.82,xdsl 21,HABILITADO,Activo
LIBRE,172.30.251.87,xdsl 39,BLOQUEADO,Cancel
blsscesco_m,10.111.3.253,xdsl 25,HABILITADO,Activo
jipmlcna,172.21.21.254,xdsl 48,HABILITADO,Activo
libjwpack_m,172.18.41.254,xdsl 13,HABILITADO,Activo
manwfyagua_m,172.28.21.254,xdsl 28,HABILITADO,Activo
triecvict,10.114.11.254,xdsl 26,HABILITADO,Activo
gyesejour,172.17.17.62,xdsl 26,HABILITADO,Activo
porcfteranp,172.29.50.254,xdsl 6,HABILITADO,Activo
gyerolcarsa,172.27.151.254,xdsl 7,HABILITADO,Activo
mantranstelco1,172.28.40.61,xdsl 45,HABILITADO,Activo
emphdpere,172.22.100.254,xdsl 27,HABILITADO,Activo
empdrsaba_m,172.22.102.254,xdsl 28,HABILITADO,Activo
triasgalarzag,10.114.3.253,xdsl 3,HABILITADO,Activo
manmpmunozs,172.28.48.254,xdsl 34,HABILITADO,Activo
uiomlujanj,172.30.249.147,xdsl 47,HABILITADO,Activo
macfpyanezr_m,172.20.36.254,xdsl 35,HABILITADO,Activo
LIBRE,172.29.30.254,xdsl 42,BLOQUEADO,In-Corte
uiodbcastillom,172.30.249.164,xdsl 17,HABILITADO,Activo
bbhgdalvaradot,172.23.24.254,xdsl 18,HABILITADO,Activo
uioemaguirrev,172.30.252.139,xdsl 16,HABILITADO,Cancel
trisasanc,10.114.1.254,xdsl 2,HABILITADO,Activo
trobitoledon,10.114.4.253,xdsl 15,HABILITADO,Activo
uiohesmas,172.30.249.86,xdsl 20,HABILITADO,Activo
trisagoro_m,10.114.12.254,xdsl 22,HABILITADO,Cancel
LIBRE,172.30.254.92,xdsl 24,BLOQUEADO,In-Corte
macsjestrellar,172.20.20.254,xdsl 5,HABILITADO,Activo
trimrmoraz,10.114.16.254,xdsl 1,HABILITADO,Activo
uioaicons,172.30.251.82,xdsl 29,HABILITADO,Activo
trijgveli_m,10.114.3.254,xdsl 45,HABILITADO,Activo
quektgarc_m,172.22.68.254,xdsl 8,HABILITADO,Activo
troamburg_m,10.114.6.254,xdsl 46,HABILITADO,Activo
manmaparodis,172.28.34.249,xdsl 48,HABILITADO,Activo
uiomrcarrione,172.30.251.84,xdsl 11,HABILITADO,Activo
uioaedepaolic,172.30.249.35,xdsl 21,HABILITADO,Activo
baltbpere,172.26.2.253,xdsl 16,HABILITADO,Activo
porcebazu,172.29.98.254,xdsl 39,HABILITADO,Activo
milmevallejo_m4,172.16.54.254,xdsl 31,HABILITADO,Activo
salbfunk_m,172.18.63.254,xdsl 47,HABILITADO,Activo
porlggarc,172.29.58.254,xdsl 44,HABILITADO,Activo
quertovarf,172.22.56.254,xdsl 45,HABILITADO,Activo
durmerose_m,172.17.133.254,xdsl 42,HABILITADO,Activo
empcmchic_m,172.22.103.254,xdsl 21,HABILITADO,Activo
jipuebermude_m,172.21.21.253,xdsl 18,HABILITADO,Activo
zarhjfeij,172.24.64.254,xdsl 16,HABILITADO,Activo
LIBRE,172.26.3.254,xdsl 47,BLOQUEADO,In-Corte
jiplapluam2,172.21.35.254,xdsl 25,HABILITADO,Activo
strtjcast23_m,172.20.40.254,xdsl 47,HABILITADO,Activo
stlsplainezp,172.18.56.254,xdsl 17,HABILITADO,Activo
cayequipos1,172.30.250.2,xdsl 8,HABILITADO,Activo
jipghpinm,172.21.32.253,xdsl 15,HABILITADO,Activo
quejesanc_m,172.22.52.254,xdsl 33,HABILITADO,Activo
duredayorah,172.17.105.254,xdsl 1,HABILITADO,Activo
yagfealvara,172.16.106.253,xdsl 41,HABILITADO,Activo
vinppdiazg,172.25.4.254,xdsl 46,HABILITADO,Activo
manjacabe_m,172.28.75.254,xdsl 7,HABILITADO,Activo
porgejarag,172.29.21.253,xdsl 15,HABILITADO,Activo
yaghrhino_m,172.16.106.254,xdsl 8,HABILITADO,Cancel
mancetuarezi2,172.28.34.254,xdsl 13,HABILITADO,Activo
quenuevadistri,172.22.54.254,xdsl 20,HABILITADO,Activo
gyejrvarelar,172.17.106.254,xdsl 16,HABILITADO,Activo
libdmgomezt_m,172.18.52.254,xdsl 3,HABILITADO,Activo
uiodemongeb,172.30.254.167,xdsl 30,HABILITADO,Activo
milcpcastrol1,172.16.21.241,xdsl 31,HABILITADO,Activo
trosiastudillo,10.114.4.254,xdsl 44,HABILITADO,Activo
gyecurves,172.27.73.254,xdsl 35,HABILITADO,Activo
vingraguilerar,172.25.5.254,xdsl 12,HABILITADO,Activo
trosallivizupa,10.114.5.254,xdsl 12,HABILITADO,Activo
manas.a.,172.28.40.62,xdsl 24,HABILITADO,Activo
saldegome,172.18.58.254,xdsl 34,HABILITADO,Activo
manipbazu_m,172.28.125.254,xdsl 47,HABILITADO,Activo
milrvzambran_m4,172.16.24.253,xdsl 10,HABILITADO,Activo
zarrponat_m,172.24.66.254,xdsl 1,HABILITADO,Activo
quejasanzm,172.22.44.254,xdsl 2,HABILITADO,Activo
LIBRE,172.22.56.253,xdsl 21,BLOQUEADO,In-Corte
balepmari,172.26.2.252,xdsl 10,HABILITADO,Cancel
LIBRE,172.25.1.253,xdsl 46,BLOQUEADO,Cancel
manevera_m,172.28.112.246,xdsl 32,HABILITADO,Activo
vincgverap,172.25.2.252,xdsl 8,HABILITADO,Activo
manjwdelgadom,172.28.125.252,xdsl 12,HABILITADO,Activo
jipgemoreir,172.21.37.254,xdsl 22,HABILITADO,Activo
jipebrodr,172.21.26.254,xdsl 38,HABILITADO,Activo
pindlartu_m,172.24.32.253,xdsl 27,HABILITADO,Activo
quegmpera,172.22.65.254,xdsl 36,HABILITADO,Activo
quewabeni,172.22.66.254,xdsl 44,HABILITADO,Activo
empmepint_m,172.22.101.254,xdsl 46,HABILITADO,Activo
quetranstelcoq,172.22.29.254,xdsl 29,HABILITADO,Activo
quehmchav,172.22.52.253,xdsl 19,HABILITADO,Cancel
vinlfmora,172.25.2.254,xdsl 29,HABILITADO,Cancel
porhoarteagag,172.29.70.254,xdsl 4,HABILITADO,Activo
pinenavile_m,172.24.32.254,xdsl 24,HABILITADO,Cancel
vinjisaadf,172.25.6.254,xdsl 33,HABILITADO,Activo
trocrleons,10.114.10.254,xdsl 34,HABILITADO,Activo
vinbaloorr,172.25.1.254,xdsl 45,HABILITADO,In-Corte
miljgfrancoc1,172.16.21.254,xdsl 44,HABILITADO,Activo
LIBRE,172.24.48.254,xdsl 15,BLOQUEADO,In-Corte
caymtordone,172.30.250.3,xdsl 3,HABILITADO,Activo
milncchal_m6,172.16.24.251,xdsl 23,HABILITADO,Activo
manbralcivarp,172.28.50.254,xdsl 41,HABILITADO,Activo
LIBRE,172.25.3.254,xdsl 2,BLOQUEADO,Cancel
quemvmaci,172.22.21.252,xdsl 39,HABILITADO,Activo
queljubep,172.22.41.254,xdsl 47,HABILITADO,Cancel
pinmcledes_m,172.24.30.254,xdsl 3,HABILITADO,Cancel
uioagarteagar2,172.30.249.166,xdsl 11,HABILITADO,Activo
mancdelgadop2,172.28.125.251,xdsl 14,HABILITADO,Activo
vinmcnicolae_m,172.25.1.252,xdsl 36,HABILITADO,Activo
empjfarag_m,172.22.101.252,xdsl 1,HABILITADO,Activo
stlmojedor_m,172.18.64.254,xdsl 2,HABILITADO,Activo
macjcbelt_m,172.20.22.251,xdsl 37,HABILITADO,Activo
porfmmaciasy4,172.29.78.254,xdsl 29,HABILITADO,Activo
pinglcabr_m,172.24.51.254,xdsl 23,HABILITADO,Activo
manjjlope_m,172.28.86.239,xdsl 46,HABILITADO,Activo
milgemonc_m,172.16.21.245,xdsl 48,HABILITADO,Activo
uiocmromerod1,172.30.249.90,xdsl 5,HABILITADO,Cancel
zaraeespi_m,172.24.65.254,xdsl 21,HABILITADO,Activo
zarrarome_m,172.24.70.254,xdsl 15,HABILITADO,Activo
uiopromo,172.30.249.165,xdsl 7,HABILITADO,Activo
balcrlimo,172.26.4.254,xdsl 3,HABILITADO,Activo
quemgcalerol,172.22.50.254,xdsl 24,HABILITADO,Activo
quekaveraz,172.22.67.254,xdsl 18,HABILITADO,Activo
milymarboledaf,172.16.22.252,xdsl 10,HABILITADO,Activo
pormdmanz,172.29.46.254,xdsl 28,HABILITADO,Activo
uiomamira_m,172.30.251.89,xdsl 12,HABILITADO,Activo
milomguer_m6,172.16.60.254,xdsl 15,HABILITADO,Activo
milneguev_m6,172.16.20.253,xdsl 11,HABILITADO,Activo
zarhavegav_m,172.24.69.254,xdsl 7,HABILITADO,Activo
miljfvare_m,172.16.45.254,xdsl 33,HABILITADO,Activo
vinaiespi,172.25.1.250,xdsl 29,HABILITADO,Activo
LIBRE,172.30.251.50,xdsl 20,BLOQUEADO,Cancel
LIBRE,172.30.252.34,xdsl 1,HABILITADO,In-Corte
pormtmendozav,172.29.86.254,xdsl 48,HABILITADO,Activo
uiodfalconio1,172.30.252.171,xdsl 22,HABILITADO,Cancel
quejcbarz_m,172.22.58.254,xdsl 26,HABILITADO,Activo
quejfpenam,172.22.70.254,xdsl 25,HABILITADO,Activo
quewravil,172.22.57.254,xdsl 40,HABILITADO,Activo
milamtumb_m6,172.16.20.251,xdsl 35,HABILITADO,Activo
poraksornoz_m,172.29.94.254,xdsl 13,HABILITADO,Activo
mildefari,172.16.21.252,xdsl 42,HABILITADO,Activo
blsmjzamb_m,10.111.2.254,xdsl 33,HABILITADO,Activo
uiobemogo_m,172.30.254.20,xdsl 13,HABILITADO,Activo
maccasolo_m,172.20.45.254,xdsl 12,HABILITADO,Activo
uiocespin,172.30.249.211,xdsl 6,HABILITADO,Activo
blsmnloay_m,10.111.3.254,xdsl 21,HABILITADO,Activo
mildlverav_m,172.16.22.248,xdsl 36,HABILITADO,Activo
balmrchasij,172.26.2.254,xdsl 2,HABILITADO,Activo
milmlchuma,172.16.39.254,xdsl 35,HABILITADO,Activo
miljmgonz_m,172.16.20.249,xdsl 4,HABILITADO,Activo
quewbgarc,172.22.33.254,xdsl 22,HABILITADO,Activo
pineonaranjoz_m,172.24.34.254,xdsl 11,HABILITADO,Activo
durjmburib_m,172.17.104.254,xdsl 20,HABILITADO,Activo
porjjcevallosa,172.29.106.252,xdsl 9,HABILITADO,Activo
pingcaguilarr_m,172.24.47.254,xdsl 4,HABILITADO,Activo
uiojfguarderas,172.30.249.89,xdsl 26,HABILITADO,Activo
uioepperaltac_m,172.30.251.85,xdsl 27,HABILITADO,Activo
mannnmeros,172.28.34.251,xdsl 6,HABILITADO,Activo
stdvfmingam2,172.30.253.76,xdsl 21,HABILITADO,Cancel
uioajcaib,172.30.249.74,xdsl 24,HABILITADO,Activo
pinwbloay_m,172.24.30.253,xdsl 48,HABILITADO,Activo
jipcwcanartet,172.21.29.254,xdsl 42,HABILITADO,Activo
bbhbanagu_m,172.23.37.254,xdsl 46,HABILITADO,Activo
jipejpioncel_m,172.21.32.254,xdsl 36,HABILITADO,Activo
pormjavellana1,172.29.26.252,xdsl 10,HABILITADO,Cancel
poryffarfanc,172.29.122.254,xdsl 48,HABILITADO,Activo
gyewamart_m,172.17.112.253,xdsl 10,HABILITADO,Cancel
porlggira,172.29.26.250,xdsl 2,HABILITADO,Activo
pormmcevallos_m,172.29.90.254,xdsl 13,HABILITADO,Activo
gyegdarev_m,172.17.127.254,xdsl 27,HABILITADO,Activo
uiolllivi,172.30.251.132,xdsl 38,HABILITADO,Activo
uiosdcornejow1,172.30.249.179,xdsl 26,HABILITADO,Activo
pornlagui,172.29.82.254,xdsl 16,HABILITADO,Cancel
jiprccana,172.21.36.254,xdsl 2,HABILITADO,Activo
milepguer_m,172.16.22.246,xdsl 3,HABILITADO,Activo
LIBRE,172.16.20.254,xdsl 21,BLOQUEADO,In-Corte
quesmmosquer_m,172.22.21.254,xdsl 42,HABILITADO,Activo
poromaldon_m,172.29.62.254,xdsl 8,HABILITADO,Cancel
uiomcjayag,172.30.252.108,xdsl 9,HABILITADO,Activo
pormypanc,172.29.26.251,xdsl 44,HABILITADO,Activo
LIBRE,172.30.252.178,xdsl 32,BLOQUEADO,In-Corte
jipmavill_m,172.21.34.254,xdsl 44,HABILITADO,Activo
uiorabenavidesr,172.30.254.82,xdsl 18,HABILITADO,Activo
mildaasant23,172.16.20.250,xdsl 4,HABILITADO,Activo
libcjcaic_m,172.18.39.254,xdsl 39,HABILITADO,Activo
miliimuri_m6,172.16.22.254,xdsl 34,HABILITADO,Activo
uiohavald_m,172.30.249.146,xdsl 11,HABILITADO,Activo
uiovictory1,172.30.252.18,xdsl 10,HABILITADO,Cancel
gyeeicamp_m,172.17.112.253,xdsl 7,HABILITADO,Activo
milrlintr_m,172.16.94.254,xdsl 29,HABILITADO,Activo
maniemeno,172.28.34.248,xdsl 31,HABILITADO,Activo
porcoganc_m,172.29.122.254,xdsl 35,HABILITADO,Activo
gyeriavil_m,172.17.120.254,xdsl 32,HABILITADO,Activo
jipggsanchezv,172.21.32.254,xdsl 2,HABILITADO,Activo
bbhbrfrei_m,172.23.37.254,xdsl 37,HABILITADO,Activo
LIBRE,172.24.30.253,xdsl 34,BLOQUEADO,In-Corte
poryysolorzanoc1,172.29.26.248,xdsl 44,HABILITADO,Activo
quemepere_m,172.22.51.254,xdsl 35,HABILITADO,Activo
LIBRE,172.30.249.74,xdsl 21,BLOQUEADO,In-Corte
porfhgarc,172.29.106.254,xdsl 35,HABILITADO,Activo
stdamvida,172.30.253.76,xdsl 28,HABILITADO,Activo
uiolagarzonm1,172.30.251.85,xdsl 13,HABILITADO,Activo
mangabernard_m,172.28.34.251,xdsl 46,HABILITADO,Activo
pinfcsanc_m,172.24.34.254,xdsl 29,HABILITADO,Activo
pingvagui_m,172.24.47.254,xdsl 29,HABILITADO,Activo
porccmend,172.29.106.252,xdsl 27,HABILITADO,Activo
queeechuhod,172.22.33.254,xdsl 47,HABILITADO,Cancel
LIBRE,172.16.20.249,xdsl 12,BLOQUEADO,In-Corte
milejvarg,172.16.39.254,xdsl 24,HABILITADO,Activo
LIBRE,172.26.2.254,xdsl 46,BLOQUEADO,In-Corte
blsmpmald_m,10.111.3.254,xdsl 10,HABILITADO,Cancel
gyeavillagomezv1,172.17.112.254,xdsl 29,HABILITADO,Activo
blsgmsanc_m,10.111.2.254,xdsl 44,HABILITADO,Activo
uiomromol,172.30.254.20,xdsl 26,HABILITADO,Activo
uiowapastranav1,172.30.249.211,xdsl 7,HABILITADO,Activo
uioinnova,172.30.249.88,xdsl 22,HABILITADO,Activo
miljoidrovow_m,172.16.21.252,xdsl 27,HABILITADO,Activo
milnlalvara_m6,172.16.21.242,xdsl 31,HABILITADO,Activo
pornemendoz,172.29.94.254,xdsl 16,HABILITADO,Activo
queamfuen_m,172.22.57.254,xdsl 43,HABILITADO,Activo
pinjagrandar_m,172.24.28.254,xdsl 6,HABILITADO,Activo
milbaastu_m6,172.16.20.251,xdsl 11,HABILITADO,Activo
millecastros1,172.16.22.248,xdsl 11,HABILITADO,Activo
quesmport,172.22.70.254,xdsl 48,HABILITADO,Activo
libhgtigr,172.18.55.254,xdsl 9,HABILITADO,Cancel
quelfariasz,172.22.58.254,xdsl 7,HABILITADO,Activo
pormmcedenoz,172.29.86.254,xdsl 39,HABILITADO,Activo
uiomcromanl2,172.30.252.34,xdsl 2,HABILITADO,Activo
uioelparedesq,172.30.252.171,xdsl 4,HABILITADO,Activo
milmetrujill_m4,172.16.45.254,xdsl 31,HABILITADO,Activo
vinrortizv,172.25.1.250,xdsl 32,HABILITADO,Activo
miliamuri_m,172.16.20.253,xdsl 19,HABILITADO,Activo
uiolmespinozan,172.30.251.50,xdsl 28,HABILITADO,Activo
milremo_m,172.16.60.254,xdsl 40,HABILITADO,Activo
porlhespinales,172.29.46.254,xdsl 10,HABILITADO,Activo
milekcast_m6,172.16.22.252,xdsl 36,HABILITADO,Activo
uiojpulloal,172.30.251.89,xdsl 1,HABILITADO,Activo
queclnava,172.22.67.254,xdsl 10,HABILITADO,Activo
quermsego_m,172.22.50.254,xdsl 36,HABILITADO,Activo
uioctc1,172.30.249.165,xdsl 36,HABILITADO,Cancel
balgdplac_m,172.26.4.254,xdsl 45,HABILITADO,Activo
zardasanc_m,172.24.65.254,xdsl 1,HABILITADO,Activo
uioermonm,172.30.249.90,xdsl 18,HABILITADO,Activo
pinmagala_m,172.24.52.254,xdsl 14,HABILITADO,Cancel
zarfhcujer_m,172.24.70.254,xdsl 28,HABILITADO,Activo
manjmerav_m,172.28.86.239,xdsl 17,HABILITADO,Activo
pinjmramirez_m,172.24.51.254,xdsl 48,HABILITADO,Activo
stlgugs.a_m,172.18.64.254,xdsl 15,HABILITADO,Activo
mactmgonzalezm,172.20.22.251,xdsl 14,HABILITADO,Activo
